,Bid_no.,items,quantity,depart,start_date,start_time,end_date,end_time
0,GEM/2019/B/250185,Computer Printers,23,"Ministry Of Defence
Department Of Defence
Rk Puram N/a",07-06-2019 ,09:30 AM,07-06-2019 ,09:30 AM
1,GEM/2019/B/250193,Line Intractive UPS With AVR,67,"Ministry Of Defence
Department Of Defence
Rk Puram N/a",07-06-2019 ,09:29 AM,07-06-2019 ,09:29 AM
2,GEM/2019/B/251167,Cotton Towels,80,"Ministry Of Defence
Department Of Defence Research & Development
Hyderabad Defence Research And Development Organisation (drdo)",06-06-2019 ,05:25 PM,06-06-2019 ,05:25 PM
3,GEM/2019/B/249754,Laboratory Beakers,10,"Gujarat
Agriculture And Co-operation Department Gujarat
Anand Anand Agricultural University",04-06-2019 ,04:59 PM,04-06-2019 ,04:59 PM
4,GEM/2019/B/251434,Waste Containers Or Rigid Liners- Dust Bin Or Garbage Bin Or Household Bin,30,"Gujarat
Health & Family Welfare Department Gujarat
General Hospital Jamkhambhalia N/a",07-06-2019 ,09:05 AM,07-06-2019 ,09:05 AM
5,GEM/2019/B/251435,Lead Acid Battery,4,"Ministry Of Defence
Department Of Defence
Air Force Station Kalaikunda N/a",07-06-2019 ,09:08 AM,07-06-2019 ,09:08 AM
6,GEM/2019/B/251439,Metal Shelving Racks,20,"Gujarat
Health & Family Welfare Department Gujarat
General Hospital Jamkhambhalia N/a",07-06-2019 ,09:14 AM,07-06-2019 ,09:14 AM
7,GEM/2019/B/251441,Glass Or Window Cleaners,650,"Ministry Of Defence
Department Of Defence
Air Force Station Kalaikunda N/a",07-06-2019 ,09:29 AM,07-06-2019 ,09:29 AM
8,GEM/2019/B/251442,TABLE FAN / WALL MOUNT FAN / CEILING MOUNT FAN,25,"Ministry Of Defence
Department Of Defence Production And Supply
Gun Carriage Factory, Jabalpur (m.p.) Indian Ordnance Factories",07-06-2019 ,09:28 AM,07-06-2019 ,09:28 AM
9,GEM/2019/B/251445,Speaker Stand,1,"Ministry Of Home Affairs
Central Armed Police Forces
Dte. Genl. Central Reserve Police Force (crpf)",07-06-2019 ,09:44 AM,07-06-2019 ,09:44 AM
