,Pos,Team,Weighted Matches,Points,Rating
0,1,England,46,"5,720","5,720"
1,2,India,49,"5,990","5,990"
2,3,New Zealand,36,"4,121","4,121"
3,4,South Africa,42,"4,674","4,674"
4,5,Australia,44,"4,805","4,805"
5,6,Pakistan,44,"4,107","4,107"
6,7,West Indies,41,"3,529","3,529"
7,8,Bangladesh,38,"3,225","3,225"
8,9,Sri Lanka,46,"3,529","3,529"
9,10,Afghanistan,34,"2,092","2,092"
10,11,Zimbabwe,30,"1,609","1,609"
11,12,Ireland,26,"1,176","1,176"
12,13,Scotland,11,399,399
13,14,Nepal,8,152,152
14,15,UAE,15,144,144
15,16,Papua New Guinea,9,50,50
